name,price,image
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - 1.5 Kg.,17.71 €/u,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - 5 Kg ,45.01 €/u,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - Pack 2 x 5 Kg,86.32 €,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine t/d. - 3 Kg.,25.02 €/u,https://www.petsonic.com/9272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-t-d.jpg
 Pienso Hills Prescription Diet PD Canine t/d. - Pack 2 x 3 Kg,46.33 €,https://www.petsonic.com/9272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-t-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - 4 Kg.,38.61 €/u,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - 12 Kg,69.54 €/u,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - Pack 2 x 12 Kg,135.38 €,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
" Pienso Hills Prescription Diet PD Canine Metabolic. - 1,5 Kg.",17.35 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - 4 Kg.,38.61 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - 12 Kg,71.18 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - Pack 2 x 12 Kg,138.64 €,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine c/d - 2 Kg.,20.12 €/u,https://www.petsonic.com/17369-thickbox_default/croquettes-pour-chiens-hill-s-prescription-diet-pd-canine-c-d.jpg
 Pienso Hills Prescription Diet PD Canine c/d - 5 Kg ,43.41 €/u,https://www.petsonic.com/17369-thickbox_default/croquettes-pour-chiens-hill-s-prescription-diet-pd-canine-c-d.jpg
 Pienso Hills Prescription Diet PD Canine c/d - 12 Kg,69.11 €/u,https://www.petsonic.com/17369-thickbox_default/croquettes-pour-chiens-hill-s-prescription-diet-pd-canine-c-d.jpg
 Pienso Hills Prescription Diet PD Canine c/d - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/17369-thickbox_default/croquettes-pour-chiens-hill-s-prescription-diet-pd-canine-c-d.jpg
 Pienso Hills Prescription Diet PD Canine k/d - 2 Kg.,19.39 €/u,https://www.petsonic.com/9259-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-k-d.jpg
 Pienso Hills Prescription Diet PD Canine k/d - 5 Kg ,43.41 €/u,https://www.petsonic.com/9259-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-k-d.jpg
 Pienso Hills Prescription Diet PD Canine k/d - 12 Kg,69.11 €/u,https://www.petsonic.com/9259-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-k-d.jpg
 Pienso Hills Prescription Diet PD Canine k/d - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/9259-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-k-d.jpg
 Pienso Hills Prescription Diet PD Canine z/d Ultra - 3 Kg.,37.38 €/u,https://www.petsonic.com/5341-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-ultra.jpg
 Pienso Hills Prescription Diet PD Canine z/d Ultra - 10 Kg,71.45 €/u,https://www.petsonic.com/17380-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-ultra.jpg
 Pienso Hills Prescription Diet PD Canine z/d Ultra - Pack 2 x 10 Kg,139.20 €,https://www.petsonic.com/5341-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-ultra.jpg
" Pienso Hills Prescription Diet PD Canine i/d Low Fat - 1,5 Kg.",15.13 €/u,https://www.petsonic.com/17343-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-low-fat.jpg
 Pienso Hills Prescription Diet PD Canine i/d Low Fat - 6 Kg,45.74 €/u,https://www.petsonic.com/17343-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-low-fat.jpg
 Pienso Hills Prescription Diet PD Canine i/d Low Fat - 12 Kg,69.11 €/u,https://www.petsonic.com/17343-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-low-fat.jpg
 Pienso Hills Prescription Diet PD Canine i/d Low Fat - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/17343-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-low-fat.jpg
" Pienso Hills Prescription Diet PD Canine i/d Sensitive - 1,5 Kg.",17.71 €/u,https://www.petsonic.com/17363-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-sensitive.jpg
 Pienso Hills Prescription Diet PD Canine i/d Sensitive - 5 Kg ,45.01 €/u,https://www.petsonic.com/17363-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-sensitive.jpg
 Pienso Hills Prescription Diet PD Canine i/d Sensitive - 12 Kg,71.49 €/u,https://www.petsonic.com/17363-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-sensitive.jpg
 Pienso Hills Prescription Diet PD Canine i/d Sensitive - Pack 2 x 12 Kg,139.27 €,https://www.petsonic.com/17363-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-sensitive.jpg
" Pienso Hills Prescription Diet PD Canine Metabolic Mini - 1,5 Kg.",17.35 €/u,https://www.petsonic.com/17361-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mini.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic Mini - 6 Kg,47.43 €/u,https://www.petsonic.com/17361-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mini.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic Mini - Pack 2 x 6 Kg,91.15 €,https://www.petsonic.com/17361-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mini.jpg
" Pienso Hills Prescription Diet PD Canine w/d Mini - 1,5 Kg.",17.12 €/u,https://www.petsonic.com/17391-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine w/d Mini - 6 Kg,45.74 €/u,https://www.petsonic.com/17391-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine w/d Mini - Pack 2 x 6 Kg,87.77 €,https://www.petsonic.com/17391-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine z/d Mini - 1.5 Kg.,19.39 €/u,https://www.petsonic.com/17272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine z/d Mini - 6 Kg,52.14 €/u,https://www.petsonic.com/17272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine z/d Mini - Pack 2 x 6 Kg,100.58 €,https://www.petsonic.com/17272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-z-d-mini.jpg
 Comida Húmeda Hills Prescription Diet PD Canine i/d Low Fat.370gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17344-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-d-low-fat-370gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine j/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17395-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-j-d-370-gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine Metabolic 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17353-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-metabolic-370-gr-humedo.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - 4 Kg.,40.20 €/u,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - 12 Kg,76.10 €/u,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - 4 Kg.,40.20 €/u,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - 12 Kg,76.10 €/u,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Mobility - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/8699-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Derm Defense - 2 Kg.,23.84 €/u,https://www.petsonic.com/17329-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-derm-defense.jpg
 Pienso Hills Prescription Diet PD Canine Derm Defense - 5 Kg ,45.01 €/u,https://www.petsonic.com/17329-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-derm-defense.jpg
 Pienso Hills Prescription Diet PD Canine Derm Defense - 12 Kg,76.10 €/u,https://www.petsonic.com/17329-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-derm-defense.jpg
 Pienso Hills Prescription Diet PD Canine Derm Defense - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/17329-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-derm-defense.jpg
 Comida Húmeda Hills Prescription Diet P.D Canine z/d 370 gr.Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17403-thickbox_default/p-d-canine-z-d-370-gr-humedo.jpg
 Pienso Hills Prescription Diet PD Canine k/d + Mobility - 5 Kg ,45.01 €/u,https://www.petsonic.com/17332-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-ne-k-d-mobility.jpg
 Pienso Hills Prescription Diet PD Canine k/d + Mobility - 12 Kg,76.10 €/u,https://www.petsonic.com/17332-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-ne-k-d-mobility.jpg
 Pienso Hills Prescription Diet PD Canine k/d + Mobility - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/17332-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-ne-k-d-mobility.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Urinary - 2 Kg.,23.39 €/u,https://www.petsonic.com/15948-thickbox_default/pd-canine-metabolic-urinary.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Urinary - 12 Kg,75.31 €/u,https://www.petsonic.com/15948-thickbox_default/pd-canine-metabolic-urinary.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic + Urinary - Pack 2 x 12 Kg,146.90 €,https://www.petsonic.com/15948-thickbox_default/pd-canine-metabolic-urinary.jpg
 Pienso Hills Prescription Diet PD Canine i/d. - 2 Kg.,20.12 €/u,https://www.petsonic.com/17407-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d.jpg
 Pienso Hills Prescription Diet PD Canine i/d. - 5 Kg ,43.41 €/u,https://www.petsonic.com/17407-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d.jpg
 Pienso Hills Prescription Diet PD Canine i/d. - 12 Kg,69.11 €/u,https://www.petsonic.com/17407-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d.jpg
 Pienso Hills Prescription Diet PD Canine i/d. - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/17407-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d.jpg
 Pienso Hills Prescription Diet PD Canine l/d. - 2 Kg.,20.12 €/u,https://www.petsonic.com/17408-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-l-d.jpg
 Pienso Hills Prescription Diet PD Canine l/d. - 5 Kg ,43.41 €/u,https://www.petsonic.com/17408-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-l-d.jpg
 Pienso Hills Prescription Diet PD Canine l/d. - 12 Kg,69.11 €/u,https://www.petsonic.com/17408-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-l-d.jpg
 Pienso Hills Prescription Diet PD Canine l/d. - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/17408-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-l-d.jpg
 Comida Húmeda Hills Prescription Diet PD Canine k/d 370 gr. Húmedo. - 12 Unidades.,37.97 €/u,https://www.petsonic.com/17397-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-k-d-370-gr-humedo.jpg
" Pienso Hills Prescription Diet PD Canine r/d. - 1,5 Kg.",13.35 €/u,https://www.petsonic.com/17388-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d.jpg
 Pienso Hills Prescription Diet PD Canine r/d. - 4 Kg.,38.61 €/u,https://www.petsonic.com/17388-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d.jpg
 Pienso Hills Prescription Diet PD Canine r/d. - 12 Kg,71.18 €/u,https://www.petsonic.com/17388-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d.jpg
 Pienso Hills Prescription Diet PD Canine r/d. - Pack 2 x 12 Kg,138.64 €,https://www.petsonic.com/17388-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d.jpg
" Pienso Hills Prescription Diet PD Canine w/d - 1,5 Kg.",13.90 €/u,https://www.petsonic.com/17389-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d.jpg
 Pienso Hills Prescription Diet PD Canine w/d - 4 Kg.,33.79 €/u,https://www.petsonic.com/17389-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d.jpg
 Pienso Hills Prescription Diet PD Canine w/d - 12 Kg,69.11 €/u,https://www.petsonic.com/17389-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d.jpg
 Pienso Hills Prescription Diet PD Canine w/d - Pack 2 x 12 Kg,134.50 €,https://www.petsonic.com/17389-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-w-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d Mini - 2 Kg.,22.07 €/u,https://www.petsonic.com/17404-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine j/d Mini - 5 Kg ,41.91 €/u,https://www.petsonic.com/17404-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine j/d Mini - Pack 2 x 5 Kg,80.12 €,https://www.petsonic.com/17404-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine j/d - 2 Kg.,19.56 €/u,https://www.petsonic.com/17375-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d - 5 Kg ,41.91 €/u,https://www.petsonic.com/17376-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d - 12 Kg,71.49 €/u,https://www.petsonic.com/17375-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d - Pack 2 x 12 Kg,139.27 €,https://www.petsonic.com/17375-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d.jpg
 Pienso Hills Prescription Diet PD Canine d/d Pato y Arroz. - 2 Kg.,23.84 €/u,https://www.petsonic.com/9245-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-pato-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Pato y Arroz. - 5 Kg ,45.01 €/u,https://www.petsonic.com/9245-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-pato-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Pato y Arroz. - 12 Kg,76.10 €/u,https://www.petsonic.com/9245-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-pato-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Pato y Arroz. - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/9245-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-pato-arroz.jpg
 Comida Húmeda Hills Prescription Diet PD Canine s/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17400-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-s-d-370-gr-humedo.jpg
" Pienso Hills Prescription Diet PD Canine r/d Mini - 1,5 Kg.",13.30 €/u,https://www.petsonic.com/17390-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine r/d Mini - 6 Kg,47.43 €/u,https://www.petsonic.com/17390-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d-mini.jpg
 Pienso Hills Prescription Diet PD Canine r/d Mini - Pack 2 x 6 Kg,91.15 €,https://www.petsonic.com/17390-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-r-d-mini.jpg
 Comida Húmeda Hills Prescription Diet PD Canine i/d. 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17405-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-d-370-gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine l/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17396-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-l-d-370-gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine r/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17399-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-r-d-370-gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine w/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17402-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-w-d-370-gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine u/d 370gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17401-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-u-d-370gr-humedo.jpg
 Comida Húmeda Hills Prescription Diet PD Canine c/d 370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17392-thickbox_default/comida-lata-para-perros-hill-s-prescription-diet-pd-canine-c-d-370-gr-humedo.jpg
 Pienso Hills Prescription Diet PD Canine d/d Salmón y Arroz. - 2 Kg.,23.84 €/u,https://www.petsonic.com/17412-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-salmon-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Salmón y Arroz. - 5 Kg ,45.01 €/u,https://www.petsonic.com/17412-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-salmon-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Salmón y Arroz. - 12 Kg,76.10 €/u,https://www.petsonic.com/17412-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-salmon-arroz.jpg
 Pienso Hills Prescription Diet PD Canine d/d Salmón y Arroz. - Pack 2 x 12 Kg,148.50 €,https://www.petsonic.com/17412-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-salmon-arroz.jpg
 Comida Húmeda Hills Prescription Diet PD Canine d/d con Salmón.370 gr. Húmedo. - 12 Unidades.,32.44 €/u,https://www.petsonic.com/17394-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-d-salmon-370-gr-humedo.jpg
